id,order_date,operation_type,created_by,created_at,details,metadata
899,2026-07-18T00:00:00.000Z,order_update,1,2026-07-18T14:36:01.116Z,"Order #1784385334693 updated: 6 items, ₹111.00, upi","{""orderId"":1784385334693,""itemCount"":6,""totalAmount"":111,""paymentMethod"":""upi"",""orderType"":""dine""}"
900,2026-07-18T00:00:00.000Z,order_complete,1,2026-07-18T14:36:01.830Z,Order #1784385334693 completed: upi,"{""orderId"":1784385334693,""paymentMethod"":""upi"",""cashAmount"":0,""upiAmount"":0,""totalAmount"":111}"
901,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T14:41:39.500Z,"Order #1784385697738 created: 6 items, ₹109.00, cash","{""orderId"":1784385697738,""itemCount"":6,""totalAmount"":109,""paymentMethod"":""cash"",""orderType"":""pack""}"
902,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T14:47:10.762Z,"Order #1784386030208 created: 6 items, ₹109.00, upi","{""orderId"":1784386030208,""itemCount"":6,""totalAmount"":109,""paymentMethod"":""upi"",""orderType"":""pack""}"
903,2026-07-18T00:00:00.000Z,order_complete,1,2026-07-18T14:47:26.812Z,Order #1784385697738 completed: cash,"{""orderId"":1784385697738,""paymentMethod"":""cash"",""cashAmount"":0,""upiAmount"":0,""totalAmount"":109}"
904,2026-07-18T00:00:00.000Z,order_complete,1,2026-07-18T14:47:30.072Z,Order #1784386030208 completed: upi,"{""orderId"":1784386030208,""paymentMethod"":""upi"",""cashAmount"":0,""upiAmount"":0,""totalAmount"":109}"
905,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T14:47:44.654Z,"Order #1784386064017 created: 12 items, ₹198.00, upi","{""orderId"":1784386064017,""itemCount"":12,""totalAmount"":198,""paymentMethod"":""upi"",""orderType"":""pack""}"
906,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T15:02:05.533Z,"Order #1784386923639 created: 12 items, ₹268.00, pending","{""orderId"":1784386923639,""itemCount"":12,""totalAmount"":268,""paymentMethod"":""pending"",""orderType"":""pack""}"
907,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T15:02:13.783Z,"Order #1784386933024 created: 6 items, ₹110.00, pending","{""orderId"":1784386933024,""itemCount"":6,""totalAmount"":110,""paymentMethod"":""pending"",""orderType"":""dine""}"
908,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T15:02:33.317Z,"Order #1784386952616 created: 6 items, ₹132.00, pending","{""orderId"":1784386952616,""itemCount"":6,""totalAmount"":132,""paymentMethod"":""pending"",""orderType"":""dine""}"
909,2026-07-18T00:00:00.000Z,order_complete,1,2026-07-18T15:03:28.082Z,Order #1784386933024 completed: upi,"{""orderId"":1784386933024,""paymentMethod"":""upi"",""cashAmount"":0,""upiAmount"":110,""totalAmount"":110}"
910,2026-07-18T00:00:00.000Z,order_complete,1,2026-07-18T15:06:39.752Z,Order #1784386952616 completed: cash,"{""orderId"":1784386952616,""paymentMethod"":""cash"",""cashAmount"":132,""upiAmount"":0,""totalAmount"":132}"
911,2026-07-18T00:00:00.000Z,order_complete,1,2026-07-18T15:07:07.960Z,Order #1784386064017 completed: upi,"{""orderId"":1784386064017,""paymentMethod"":""upi"",""cashAmount"":0,""upiAmount"":0,""totalAmount"":198}"
912,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T15:09:14.424Z,"Order #1784387353813 created: 6 items, ₹109.00, cash","{""orderId"":1784387353813,""itemCount"":6,""totalAmount"":109,""paymentMethod"":""cash"",""orderType"":""dine""}"
913,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T15:10:40.696Z,"Order #1784387440139 created: 6 items, ₹129.00, pending","{""orderId"":1784387440139,""itemCount"":6,""totalAmount"":129,""paymentMethod"":""pending"",""orderType"":""dine""}"
914,2026-07-18T00:00:00.000Z,order_update,1,2026-07-18T15:10:48.064Z,"Order #1784387353813 updated: 6 items, ₹109.00, pending","{""orderId"":1784387353813,""itemCount"":6,""totalAmount"":109,""paymentMethod"":""pending"",""orderType"":""dine""}"
915,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T15:14:48.338Z,"Order #1784387687714 created: 6 items, ₹109.00, upi","{""orderId"":1784387687714,""itemCount"":6,""totalAmount"":109,""paymentMethod"":""upi"",""orderType"":""dine""}"
916,2026-07-18T00:00:00.000Z,order_update,1,2026-07-18T15:14:56.414Z,"Order #1784387687714 updated: 6 items, ₹109.00, pending","{""orderId"":1784387687714,""itemCount"":6,""totalAmount"":109,""paymentMethod"":""pending"",""orderType"":""dine""}"
917,2026-07-18T00:00:00.000Z,order_complete,1,2026-07-18T15:16:27.793Z,Order #1784387687714 completed: cash,"{""orderId"":1784387687714,""paymentMethod"":""cash"",""cashAmount"":109,""upiAmount"":0,""totalAmount"":109}"
918,2026-07-18T00:00:00.000Z,order_complete,1,2026-07-18T15:16:36.282Z,Order #1784387353813 completed: upi,"{""orderId"":1784387353813,""paymentMethod"":""upi"",""cashAmount"":0,""upiAmount"":109,""totalAmount"":109}"
919,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T15:19:51.962Z,"Order #1784387991402 created: 3 items, ₹60.00, upi","{""orderId"":1784387991402,""itemCount"":3,""totalAmount"":60,""paymentMethod"":""upi"",""orderType"":""pack""}"
920,2026-07-18T00:00:00.000Z,order_complete,1,2026-07-18T15:20:33.605Z,Order #1784386923639 completed: upi,"{""orderId"":1784386923639,""paymentMethod"":""upi"",""cashAmount"":0,""upiAmount"":268,""totalAmount"":268}"
921,2026-07-18T00:00:00.000Z,order_complete,1,2026-07-18T15:23:03.389Z,Order #1784387991402 completed: upi,"{""orderId"":1784387991402,""paymentMethod"":""upi"",""cashAmount"":0,""upiAmount"":0,""totalAmount"":60}"
922,2026-07-18T00:00:00.000Z,order_complete,1,2026-07-18T15:23:08.431Z,Order #1784387440139 completed: upi,"{""orderId"":1784387440139,""paymentMethod"":""upi"",""cashAmount"":0,""upiAmount"":129,""totalAmount"":129}"
923,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T15:23:38.954Z,"Order #1784388218197 created: 6 items, ₹139.00, upi","{""orderId"":1784388218197,""itemCount"":6,""totalAmount"":139,""paymentMethod"":""upi"",""orderType"":""pack""}"
924,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T15:26:39.598Z,"Order #1784388398947 created: 12 items, ₹198.00, upi","{""orderId"":1784388398947,""itemCount"":12,""totalAmount"":198,""paymentMethod"":""upi"",""orderType"":""pack""}"
925,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T15:34:50.902Z,"Order #1784388890386 created: 6 items, ₹109.00, upi","{""orderId"":1784388890386,""itemCount"":6,""totalAmount"":109,""paymentMethod"":""upi"",""orderType"":""dine""}"
926,2026-07-18T00:00:00.000Z,order_complete,1,2026-07-18T15:35:04.308Z,Order #1784388890386 completed: upi,"{""orderId"":1784388890386,""paymentMethod"":""upi"",""cashAmount"":0,""upiAmount"":0,""totalAmount"":109}"
927,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T15:35:18.337Z,"Order #1784388917774 created: 18 items, ₹267.00, cash","{""orderId"":1784388917774,""itemCount"":18,""totalAmount"":267,""paymentMethod"":""cash"",""orderType"":""pack""}"
928,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T15:35:43.003Z,"Order #1784388942487 created: 3 items, ₹60.00, pending","{""orderId"":1784388942487,""itemCount"":3,""totalAmount"":60,""paymentMethod"":""pending"",""orderType"":""dine""}"
932,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T15:36:40.877Z,"Order #1784389000320 created: 3 items, ₹50.00, upi","{""orderId"":1784389000320,""itemCount"":3,""totalAmount"":50,""paymentMethod"":""upi"",""orderType"":""dine""}"
935,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T15:48:22.704Z,"Order #1784389702095 created: 3 items, ₹70.00, pending","{""orderId"":1784389702095,""itemCount"":3,""totalAmount"":70,""paymentMethod"":""pending"",""orderType"":""dine""}"
936,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T15:48:38.915Z,"Order #1784389718253 created: 6 items, ₹109.00, pending","{""orderId"":1784389718253,""itemCount"":6,""totalAmount"":109,""paymentMethod"":""pending"",""orderType"":""pack""}"
937,2026-07-18T00:00:00.000Z,order_update,1,2026-07-18T15:51:53.982Z,"Order #1784389718253 updated: 6 items, ₹109.00, cash","{""orderId"":1784389718253,""itemCount"":6,""totalAmount"":109,""paymentMethod"":""cash"",""orderType"":""pack""}"
939,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T15:52:09.492Z,"Order #1784389928921 created: 6 items, ₹109.00, cash","{""orderId"":1784389928921,""itemCount"":6,""totalAmount"":109,""paymentMethod"":""cash"",""orderType"":""dine""}"
940,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T15:52:33.891Z,"Order #1784389953322 created: 3 items, ₹60.00, pending","{""orderId"":1784389953322,""itemCount"":3,""totalAmount"":60,""paymentMethod"":""pending"",""orderType"":""dine""}"
944,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T16:03:28.065Z,"Order #1784390606422 created: 12 items, ₹218.00, pending","{""orderId"":1784390606422,""itemCount"":12,""totalAmount"":218,""paymentMethod"":""pending"",""orderType"":""dine""}"
945,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T16:03:57.968Z,"Order #1784390637359 created: 6 items, ₹129.00, pending","{""orderId"":1784390637359,""itemCount"":6,""totalAmount"":129,""paymentMethod"":""pending"",""orderType"":""dine""}"
946,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T16:07:55.146Z,"Order #1784390874592 created: 6 items, ₹109.00, upi","{""orderId"":1784390874592,""itemCount"":6,""totalAmount"":109,""paymentMethod"":""upi"",""orderType"":""dine""}"
949,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T16:09:14.793Z,"Order #1784390953091 created: 6 items, ₹149.00, cash","{""orderId"":1784390953091,""itemCount"":6,""totalAmount"":149,""paymentMethod"":""cash"",""orderType"":""pack""}"
950,2026-07-18T00:00:00.000Z,order_update,1,2026-07-18T16:10:20.882Z,"Order #1784390606422 updated: 24 items, ₹456.00, pending","{""orderId"":1784390606422,""itemCount"":24,""totalAmount"":456,""paymentMethod"":""pending"",""orderType"":""dine""}"
951,2026-07-18T00:00:00.000Z,order_update,1,2026-07-18T16:11:04.822Z,"Order #1784390606422 updated: 24 items, ₹457.00, pending","{""orderId"":1784390606422,""itemCount"":24,""totalAmount"":457,""paymentMethod"":""pending"",""orderType"":""dine""}"
952,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T16:11:23.653Z,"Order #1784391083047 created: 6 items, ₹129.00, upi","{""orderId"":1784391083047,""itemCount"":6,""totalAmount"":129,""paymentMethod"":""upi"",""orderType"":""pack""}"
956,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T16:22:03.205Z,"Order #1784391721468 created: 12 items, ₹288.00, pending","{""orderId"":1784391721468,""itemCount"":12,""totalAmount"":288,""paymentMethod"":""pending"",""orderType"":""pack""}"
958,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T16:31:16.775Z,"Order #1784392276174 created: 3 items, ₹50.00, cash","{""orderId"":1784392276174,""itemCount"":3,""totalAmount"":50,""paymentMethod"":""cash"",""orderType"":""pack""}"
960,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T16:31:30.651Z,"Order #1784392290051 created: 6 items, ₹129.00, upi","{""orderId"":1784392290051,""itemCount"":6,""totalAmount"":129,""paymentMethod"":""upi"",""orderType"":""pack""}"
961,2026-07-18T00:00:00.000Z,order_update,1,2026-07-18T16:38:27.363Z,"Order #1784392290051 updated: 6 items, ₹129.00, cash","{""orderId"":1784392290051,""itemCount"":6,""totalAmount"":129,""paymentMethod"":""cash"",""orderType"":""pack""}"
963,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T16:40:20.257Z,"Order #1784392819669 created: 6 items, ₹139.00, upi","{""orderId"":1784392819669,""itemCount"":6,""totalAmount"":139,""paymentMethod"":""upi"",""orderType"":""pack""}"
965,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T16:52:27.976Z,"Order #1784393546204 created: 6 items, ₹107.00, upi","{""orderId"":1784393546204,""itemCount"":6,""totalAmount"":107,""paymentMethod"":""upi"",""orderType"":""dine""}"
969,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T16:56:35.425Z,"Order #1784393793790 created: 6 items, ₹149.00, cash","{""orderId"":1784393793790,""itemCount"":6,""totalAmount"":149,""paymentMethod"":""cash"",""orderType"":""pack""}"
971,2026-07-18T00:00:00.000Z,supply_order,2,2026-07-18T17:02:03.372Z,"Supply order updated for 2026-07-18: 4 items, ₹2292.00","{""supplyOrderId"":18,""orderDate"":""2026-07-18"",""itemCount"":4,""totalQuantity"":16,""totalCost"":2292,""action"":""update""}"
972,2026-07-18T00:00:00.000Z,verification,1,2026-07-18T17:02:16.541Z,"Verified 4 items, all match","{""orderDate"":""2026-07-18"",""itemCount"":4,""conflictCount"":0,""allMatch"":true}"
974,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T17:12:52.151Z,"Order #1784394770407 created: 4 items, ₹92.00, upi","{""orderId"":1784394770407,""itemCount"":4,""totalAmount"":92,""paymentMethod"":""upi"",""orderType"":""pack""}"
975,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T17:13:16.858Z,"Order #1784394796304 created: 6 items, ₹109.00, cash","{""orderId"":1784394796304,""itemCount"":6,""totalAmount"":109,""paymentMethod"":""cash"",""orderType"":""dine""}"
981,2026-07-19T00:00:00.000Z,supply_order,2,2026-07-19T06:10:35.006Z,"Supply order updated for 2026-07-19: 6 items, ₹3740.00","{""supplyOrderId"":19,""orderDate"":""2026-07-19"",""itemCount"":6,""totalQuantity"":24,""totalCost"":3740,""action"":""update""}"
983,2026-07-19T00:00:00.000Z,verification,1,2026-07-19T11:50:34.227Z,"Verified 6 items, all match","{""orderDate"":""2026-07-19"",""itemCount"":6,""conflictCount"":0,""allMatch"":true}"
985,2026-07-19T00:00:00.000Z,order_create,1,2026-07-19T12:20:49.955Z,"Order #1784463649324 created: 3 items, ₹50.00, cash","{""orderId"":1784463649324,""itemCount"":3,""totalAmount"":50,""paymentMethod"":""cash"",""orderType"":""pack""}"
986,2026-07-19T00:00:00.000Z,order_create,1,2026-07-19T12:20:57.705Z,"Order #1784463656971 created: 12 items, ₹238.00, upi","{""orderId"":1784463656971,""itemCount"":12,""totalAmount"":238,""paymentMethod"":""upi"",""orderType"":""dine""}"
987,2026-07-19T00:00:00.000Z,order_create,1,2026-07-19T12:26:03.979Z,"Order #1784463963458 created: 6 items, ₹109.00, upi","{""orderId"":1784463963458,""itemCount"":6,""totalAmount"":109,""paymentMethod"":""upi"",""orderType"":""pack""}"
992,2026-07-19T00:00:00.000Z,order_create,1,2026-07-19T12:48:25.999Z,"Order #1784465305389 created: 6 items, ₹89.00, cash","{""orderId"":1784465305389,""itemCount"":6,""totalAmount"":89,""paymentMethod"":""cash"",""orderType"":""pack""}"
994,2026-07-19T00:00:00.000Z,order_create,1,2026-07-19T12:52:49.011Z,"Order #1784465568437 created: 6 items, ₹129.00, pending","{""orderId"":1784465568437,""itemCount"":6,""totalAmount"":129,""paymentMethod"":""pending"",""orderType"":""dine""}"
995,2026-07-19T00:00:00.000Z,order_create,1,2026-07-19T12:52:58.762Z,"Order #1784465578189 created: 6 items, ₹89.00, pending","{""orderId"":1784465578189,""itemCount"":6,""totalAmount"":89,""paymentMethod"":""pending"",""orderType"":""dine""}"
999,2026-07-19T00:00:00.000Z,order_create,1,2026-07-19T13:02:05.929Z,"Order #1784466125249 created: 6 items, ₹129.00, pending","{""orderId"":1784466125249,""itemCount"":6,""totalAmount"":129,""paymentMethod"":""pending"",""orderType"":""dine""}"
1000,2026-07-19T00:00:00.000Z,order_create,1,2026-07-19T13:09:08.277Z,"Order #1784466547683 created: 6 items, ₹109.00, pending","{""orderId"":1784466547683,""itemCount"":6,""totalAmount"":109,""paymentMethod"":""pending"",""orderType"":""dine""}"
1001,2026-07-19T00:00:00.000Z,order_update,1,2026-07-19T13:09:15.005Z,"Order #1784466125249 updated: 18 items, ₹347.00, pending","{""orderId"":1784466125249,""itemCount"":18,""totalAmount"":347,""paymentMethod"":""pending"",""orderType"":""dine""}"
1003,2026-07-19T00:00:00.000Z,order_create,1,2026-07-19T13:18:33.913Z,"Order #1784467113178 created: 6 items, ₹149.00, pending","{""orderId"":1784467113178,""itemCount"":6,""totalAmount"":149,""paymentMethod"":""pending"",""orderType"":""dine""}"
1070,2026-07-20T00:00:00.000Z,verification,1,2026-07-20T17:23:05.566Z,"Verified 4 items, all match","{""orderDate"":""2026-07-20"",""itemCount"":4,""conflictCount"":0,""allMatch"":true}"
1074,2026-07-21T00:00:00.000Z,login,1,2026-07-21T08:46:43.979Z,Login: staff (Cart Staff),"{""userId"":1,""role"":""staff"",""displayName"":""Cart Staff""}"
1075,2026-07-20T00:00:00.000Z,closing_stock,1,2026-07-21T08:47:31.494Z,"Recorded closing stock: 1 packets, 10 pieces","{""orderDate"":""2026-07-20"",""totalPackets"":1,""totalPieces"":10,""totalWastage"":60,""itemCount"":3,""conflictCount"":0,""conflicts"":[]}"
